Страна,год,Категория продуктов питания,Общее_количество_отходов_(тонн),Экономический ущерб (Млн долларов),Среднее количество отходов на душу населения (Кг),Численность населения (Млн),Бытовые отходы (%)
russia,2023,meat seafood,4618.68,5138.08,69.78,280.37,53.06
india,2023,beverage,1634.45,1960.97,71.68,23.17,54.52
france,2023,beverage,45126.17,49357.92,156.41,1162.42,33.92
spain,2021,meat seafood,45374.16,46143.9,182.49,1199.9,64.61
argentina,2020,beverage,48449.26,47672.6,136.74,331.37,51.84
spain,2024,prepared food,1732.31,1610.76,195.49,684.97,66.98
indonesia,2024,dairy product,18682.94,16863.27,69.9,1362.25,67.05
germany,2021,dairy product,13763.66,13534.15,159.82,1279.45,59.98
turkey,2021,fruit vegetable,21211.62,22934.32,23.56,462.99,52.05
spain,2021,meat seafood,34559.81,30645.51,160.72,744.61,41.14
france,2020,dairy product,6103.15,5286.27,105.48,998.77,44.34
france,2021,grain cereal,3737.96,4130.64,149.56,198.66,34.87
uk,2024,bakery item,46857.01,53113.51,114.12,518.64,36.55
china,2023,prepared food,4611.94,4929.34,41.21,53.58,58.18
turkey,2020,beverage,43480.95,38449.02,165.29,734.49,38.91
turkey,2020,bakery item,42834.82,34838.16,92.86,234.89,43.7
indonesia,2023,prepared food,49816.86,41239.85,134.88,1382.02,67.85
turkey,2024,prepared food,11404.52,11204.75,75.84,326.42,34.57
canada,2021,grain cereal,46798.57,37623.18,131.37,1307.11,41.68
mexico,2021,prepared food,20641.74,21083.59,75.79,1293.17,61.35
south africa,2018,dairy product,47627.36,42337.22,92.55,131.9,61.23
south africa,2021,grain cereal,47689.02,56242.94,167.89,427.78,48.17
south korea,2023,prepared food,1498.6,1441.45,179.65,79.16,62.74
argentina,2018,prepared food,1658.5,1792.44,38.86,561.39,49.43
saudi arabia,2020,meat seafood,28148.0,30663.05,167.89,961.56,69.39
france,2024,fruit vegetable,24659.88,23758.67,62.68,1397.01,59.92
spain,2021,bakery item,4299.29,3674.24,29.92,1201.14,38.42
canada,2019,fruit vegetable,17578.48,17978.29,92.23,492.46,51.28
indonesia,2022,fruit vegetable,19354.4,20751.86,64.75,1049.56,35.73
south africa,2021,grain cereal,30790.19,29014.13,152.14,1212.42,48.75
france,2023,bakery item,13901.18,11299.59,64.06,21.9,66.77
japan,2020,bakery item,11071.57,12338.73,142.21,52.39,43.07
italy,2024,beverage,7032.21,8297.39,196.12,603.96,57.14
italy,2024,fruit vegetable,8065.54,9121.86,33.12,292.34,65.14
indonesia,2022,frozen food,43637.05,38890.96,79.13,524.46,66.53
uk,2020,frozen food,41058.24,38421.44,63.99,293.55,69.29
india,2018,grain cereal,22078.21,20545.65,120.17,835.93,66.34
russia,2023,fruit vegetable,28458.05,32053.14,111.9,1023.31,43.09
saudi arabia,2019,grain cereal,41000.87,47408.27,61.27,792.47,35.96
japan,2024,prepared food,7236.25,5985.85,112.63,41.66,37.49
south africa,2019,bakery item,19679.23,23414.64,152.57,771.08,68.32
saudi arabia,2024,fruit vegetable,35483.41,33462.87,188.4,802.52,31.58
south africa,2024,bakery item,34795.8,36643.27,90.7,922.21,67.29
mexico,2021,fruit vegetable,41413.4,46444.54,192.43,25.16,34.47
south korea,2018,bakery item,29213.9,30961.95,118.87,26.11,32.13
australia,2023,fruit vegetable,13010.89,13474.49,187.25,466.68,53.45
australia,2021,grain cereal,4140.11,3741.73,170.14,1050.12,34.98
south korea,2024,dairy product,17681.37,18549.68,141.22,402.52,46.95
france,2022,fruit vegetable,46668.91,47669.01,109.29,647.0,51.51
usa,2022,frozen food,35232.72,40282.97,103.69,682.19,43.94
china,2023,meat seafood,32497.32,33166.68,155.52,99.24,44.86
china,2020,meat seafood,40408.04,46888.38,189.14,654.22,37.2
russia,2023,meat seafood,22245.81,24544.51,153.27,1030.64,32.55
spain,2022,dairy product,34661.41,41175.81,199.19,729.14,54.28
turkey,2023,beverage,4747.33,5287.71,117.05,264.62,59.6
india,2021,beverage,34123.97,35563.1,124.01,545.6,56.69
usa,2021,dairy product,26651.27,22800.42,195.03,1370.22,68.1
argentina,2018,grain cereal,35830.12,33509.64,125.51,442.34,52.97
italy,2020,frozen food,43604.76,41061.79,118.91,221.35,57.77
spain,2019,beverage,28426.63,25882.46,167.06,171.49,54.46
italy,2022,dairy product,23421.47,24931.67,158.37,560.84,66.88
japan,2023,meat seafood,27099.72,28239.68,155.83,20.78,40.5
saudi arabia,2024,bakery item,39581.84,41930.82,104.09,342.77,36.49
brazil,2018,fruit vegetable,26144.5,22131.69,171.23,644.98,57.72
brazil,2019,grain cereal,17126.74,17098.43,40.51,1331.19,61.84
usa,2023,frozen food,41112.98,38944.29,125.91,1118.7,48.87
australia,2023,fruit vegetable,34771.88,39746.31,108.15,531.36,53.2
germany,2020,beverage,30532.53,35225.48,101.96,1397.4,47.98
brazil,2018,bakery item,33302.91,34775.16,96.53,319.81,55.9
saudi arabia,2023,grain cereal,44376.96,38365.99,126.78,1395.67,33.04
uk,2019,bakery item,19157.25,22447.11,26.79,732.64,48.87
turkey,2020,meat seafood,19420.74,18180.97,164.89,553.1,67.48
japan,2024,prepared food,26996.77,22247.24,141.2,195.3,63.68
brazil,2021,frozen food,23230.45,24063.57,103.26,13.57,43.33
china,2022,bakery item,11941.14,10013.69,157.15,1387.28,45.86
saudi arabia,2021,meat seafood,36620.6,33044.67,51.01,50.26,37.92
russia,2020,prepared food,39904.73,42100.71,185.89,137.46,61.12
italy,2021,frozen food,18677.97,18778.26,67.16,1317.71,30.24
canada,2020,fruit vegetable,27775.14,27873.1,167.13,1285.73,47.56
argentina,2023,frozen food,39575.31,33679.46,156.9,820.08,58.06
south korea,2024,frozen food,44477.01,51554.51,135.69,634.67,47.85
turkey,2021,beverage,45531.69,53905.44,168.79,408.45,41.96
russia,2024,prepared food,19136.57,15632.33,36.34,726.02,60.73
uk,2019,beverage,39366.23,31790.73,162.82,910.67,35.24
argentina,2019,fruit vegetable,42224.31,48288.33,29.15,989.16,32.17
france,2018,beverage,11747.58,11927.44,31.53,429.29,34.67
brazil,2022,prepared food,32541.66,31769.86,181.61,958.99,66.05
saudi arabia,2024,dairy product,10346.33,8873.46,178.04,174.47,46.91
mexico,2024,fruit vegetable,11663.37,9373.54,27.2,1132.72,47.42
china,2019,prepared food,36775.28,42989.16,35.16,766.59,55.84
russia,2023,grain cereal,47754.5,43538.98,84.26,724.99,57.5
spain,2019,prepared food,49597.08,51503.85,53.87,1203.63,38.63
south korea,2019,prepared food,9854.36,9751.73,121.65,1333.26,34.66
south africa,2021,frozen food,32026.66,37170.93,66.35,1253.91,51.57
saudi arabia,2019,dairy product,42268.39,47258.56,22.83,1347.24,41.61
japan,2018,prepared food,4432.12,4843.85,48.24,979.69,60.76
mexico,2024,dairy product,46335.1,44293.66,68.29,878.73,66.64
australia,2023,fruit vegetable,32008.19,37944.81,96.91,293.21,40.81
uk,2020,grain cereal,12158.17,12654.12,88.35,854.64,69.76
south korea,2023,beverage,26692.28,27029.96,35.13,830.67,55.57
brazil,2020,dairy product,25611.51,27250.82,194.94,975.85,32.75
saudi arabia,2024,beverage,38673.18,34473.09,190.61,803.85,44.24
japan,2022,grain cereal,38902.24,41321.62,183.52,155.41,54.63
spain,2024,dairy product,21328.53,21673.87,56.09,365.74,50.62
usa,2024,bakery item,37219.35,38057.65,186.06,904.55,62.48
spain,2018,dairy product,36730.78,31317.17,102.27,1099.95,60.06
south korea,2023,beverage,12317.88,10632.5,186.06,993.41,42.45
brazil,2020,bakery item,34788.43,36710.86,175.07,1259.71,58.47
brazil,2019,beverage,38637.82,37387.45,28.74,797.19,44.99
france,2018,prepared food,23315.36,25409.49,151.47,1158.29,42.5
turkey,2021,fruit vegetable,42720.3,43857.89,180.31,33.87,59.54
brazil,2023,fruit vegetable,19516.89,16728.23,118.66,299.23,30.85
australia,2019,beverage,36675.14,33795.37,69.14,190.32,40.55
france,2018,bakery item,33455.5,35751.36,111.54,767.8,59.41
brazil,2024,grain cereal,39730.33,32152.11,99.6,1232.91,54.37
brazil,2023,frozen food,28256.65,26235.52,76.73,294.5,54.39
japan,2018,meat seafood,10569.89,9254.97,82.36,1311.01,35.38
spain,2020,prepared food,7673.38,6152.46,144.15,537.14,48.93
south korea,2021,prepared food,8921.72,8813.68,99.65,1088.04,40.87
germany,2018,beverage,49821.95,47175.67,44.62,903.11,36.71
italy,2024,fruit vegetable,40628.72,32673.05,122.42,982.85,31.0
canada,2021,fruit vegetable,33384.17,30304.24,58.8,1246.14,37.41
indonesia,2023,bakery item,32291.89,28109.53,128.13,647.42,40.17
china,2018,grain cereal,30411.47,25760.76,94.73,548.01,64.44
turkey,2022,meat seafood,45621.2,44279.58,31.47,766.29,68.54
south africa,2023,grain cereal,18519.25,19892.46,69.69,800.92,56.28
uk,2020,meat seafood,9274.18,9013.05,192.6,1071.64,55.93
saudi arabia,2020,frozen food,26717.58,26423.71,32.15,946.48,50.07
italy,2024,fruit vegetable,11568.58,13468.51,137.79,417.49,37.65
russia,2020,meat seafood,35478.35,32831.46,93.19,792.91,48.74
australia,2024,beverage,47042.59,46315.24,170.85,273.42,56.22
canada,2024,dairy product,28578.74,30720.54,21.53,1288.55,43.81
france,2020,dairy product,34539.59,38087.67,147.33,426.08,56.98
italy,2024,dairy product,33143.48,27390.55,198.88,1229.88,64.08
russia,2024,meat seafood,3571.28,4051.43,197.55,220.99,56.09
canada,2023,grain cereal,23410.02,20912.79,58.78,1350.89,58.11
germany,2023,dairy product,32805.49,27652.9,187.31,858.85,48.83
australia,2019,dairy product,35160.21,41400.4,99.21,27.53,52.34
argentina,2022,frozen food,8594.59,9752.72,77.76,718.5,68.44
russia,2024,dairy product,22720.68,21947.26,79.97,858.05,66.92
italy,2023,prepared food,45865.38,47164.59,42.96,194.31,49.63
south korea,2018,prepared food,31016.42,28710.72,185.7,1146.89,33.34
brazil,2024,meat seafood,16537.53,18897.13,168.59,866.61,63.31
turkey,2023,prepared food,36370.28,42376.5,42.69,513.06,56.74
canada,2023,fruit vegetable,3328.11,3896.18,103.8,1341.94,57.66
australia,2021,grain cereal,35841.16,37334.99,36.86,88.82,56.74
uk,2018,prepared food,34932.96,31002.47,24.41,234.78,69.99
argentina,2019,prepared food,6210.96,5625.31,183.28,1389.04,53.08
south korea,2021,fruit vegetable,16554.33,18394.01,180.81,1319.03,48.21
spain,2018,bakery item,17206.7,14672.27,55.56,977.52,56.68
brazil,2023,dairy product,41514.19,37913.97,58.18,1182.06,63.16
france,2020,meat seafood,44973.35,37316.07,195.23,907.78,37.36
russia,2023,bakery item,44961.18,40280.46,56.72,593.33,67.19
italy,2020,prepared food,22334.46,23183.3,104.23,488.53,41.58
usa,2020,dairy product,20517.26,22108.48,71.66,855.36,50.97
japan,2019,prepared food,49948.23,50637.51,108.11,1220.46,63.44
indonesia,2019,fruit vegetable,20319.53,16766.94,44.42,240.36,53.99
germany,2022,prepared food,5379.46,6107.14,48.99,1088.12,45.81
india,2018,beverage,41579.75,41344.17,75.88,1067.55,53.86
south korea,2018,beverage,30244.66,35752.15,93.55,797.24,31.95
australia,2021,grain cereal,38968.29,31654.11,99.24,846.81,50.96
indonesia,2022,meat seafood,47785.73,54367.08,193.43,46.42,67.79
italy,2024,bakery item,17376.06,17601.38,91.5,1323.92,36.82
south korea,2022,frozen food,44157.47,43402.56,35.06,235.52,43.08
argentina,2022,grain cereal,23398.53,21432.11,150.91,780.7,60.33
italy,2023,prepared food,33813.66,37518.62,183.18,283.27,41.38
argentina,2020,meat seafood,19641.05,21899.7,83.58,1268.36,52.37
china,2021,prepared food,28554.51,28238.46,191.61,676.67,59.64
turkey,2022,grain cereal,29640.04,24538.41,52.38,1038.17,44.37
uk,2021,fruit vegetable,14631.16,17408.17,62.08,1307.64,59.13
canada,2018,meat seafood,44803.95,36580.07,195.86,264.95,36.37
saudi arabia,2022,meat seafood,5153.47,5204.55,111.25,1055.8,36.23
saudi arabia,2019,prepared food,15340.42,13304.64,126.03,945.44,62.32
usa,2018,grain cereal,43798.26,37179.4,197.41,646.19,59.68
australia,2018,beverage,15809.24,16731.04,129.64,91.23,62.5
uk,2018,prepared food,28645.81,24791.78,57.39,1319.39,45.58
italy,2021,beverage,17498.67,15495.46,62.41,977.68,42.9
uk,2024,grain cereal,5527.56,6587.05,33.26,1194.06,62.01
germany,2018,prepared food,36308.58,35569.19,42.28,1368.21,50.52
france,2018,beverage,20555.66,20002.41,86.77,446.58,38.01
italy,2020,beverage,25833.45,23028.03,55.29,1048.51,38.07
indonesia,2019,frozen food,37879.97,37428.1,189.28,1323.33,66.67
mexico,2023,frozen food,32919.76,39313.15,124.41,379.92,51.61
china,2024,prepared food,30618.56,34281.61,21.66,1015.92,43.26
russia,2023,grain cereal,9845.39,9764.39,59.4,876.16,45.66
india,2018,dairy product,579.36,644.62,191.73,277.1,52.46
indonesia,2024,fruit vegetable,32844.67,35654.28,114.02,762.99,64.8
spain,2021,dairy product,30246.08,33555.87,102.26,302.73,51.56
brazil,2021,meat seafood,33939.22,34884.77,62.46,685.49,49.45
usa,2018,bakery item,25862.02,24104.65,67.58,776.7,68.11
mexico,2021,grain cereal,47836.63,38345.09,22.78,974.06,57.51
south korea,2020,fruit vegetable,3657.3,3674.47,25.04,697.88,47.84
italy,2019,dairy product,10879.19,11396.98,127.31,982.16,36.56
indonesia,2023,fruit vegetable,1518.82,1441.51,53.56,430.12,49.45
indonesia,2020,beverage,35577.48,38585.41,119.54,426.7,48.79
spain,2020,prepared food,8675.35,9670.83,176.75,1253.35,49.82
south africa,2024,bakery item,40131.85,40786.47,78.6,1385.86,58.46
canada,2023,prepared food,15799.66,15339.0,87.49,887.33,35.11
japan,2018,bakery item,40615.14,36728.65,148.9,1045.22,65.5
south africa,2018,bakery item,33554.89,30227.41,125.82,1002.74,58.34
italy,2021,prepared food,39581.08,35472.8,156.62,179.98,63.87
brazil,2020,frozen food,24163.81,21675.81,136.39,708.31,31.34
south africa,2023,grain cereal,20766.05,22909.68,33.99,973.73,39.52
south africa,2023,grain cereal,22756.14,19733.92,140.48,965.39,35.42
australia,2019,meat seafood,2499.5,2890.07,69.73,1074.39,35.76
germany,2018,bakery item,28693.27,26756.34,149.88,474.98,64.95
italy,2022,meat seafood,12120.39,12122.38,77.39,133.38,34.16
australia,2018,prepared food,35063.05,29702.46,59.62,821.63,67.42
spain,2020,prepared food,17577.02,16452.17,99.44,1205.53,65.65
france,2021,dairy product,42883.75,43639.17,181.74,1361.01,57.51
germany,2022,grain cereal,32734.18,37934.01,30.94,349.5,43.62
brazil,2019,fruit vegetable,23935.92,24758.66,198.73,1224.73,61.4
argentina,2021,fruit vegetable,30419.82,29457.65,115.84,983.7,60.26
russia,2018,bakery item,15651.93,14003.78,62.88,863.8,54.83
uk,2023,grain cereal,5717.85,5416.86,83.75,1334.57,69.95
australia,2024,frozen food,26748.08,27086.57,67.2,598.69,46.57
argentina,2019,dairy product,11932.47,12003.72,179.56,233.0,58.95
south korea,2023,beverage,37904.41,42959.0,161.82,157.75,68.93
indonesia,2023,grain cereal,33312.33,35144.44,96.49,1035.22,40.92
south korea,2020,grain cereal,15712.78,14495.91,135.3,772.57,68.52
china,2021,meat seafood,3248.71,3508.32,55.08,332.62,35.58
germany,2023,prepared food,35051.75,30279.11,117.21,37.35,34.26
japan,2021,beverage,40111.61,40023.93,55.51,1151.53,54.44
south korea,2021,fruit vegetable,3295.94,3663.62,42.29,805.51,59.38
south africa,2019,grain cereal,12943.62,14989.25,41.38,646.84,33.95
india,2018,bakery item,44914.72,39769.92,44.32,816.14,50.04
south africa,2024,grain cereal,1107.72,1306.42,120.16,282.2,54.34
china,2021,fruit vegetable,17158.57,16538.81,131.46,1049.23,53.57
turkey,2020,grain cereal,7644.8,6541.69,96.79,304.37,53.16
spain,2018,grain cereal,49939.3,56589.53,166.63,1325.57,60.61
india,2024,meat seafood,49234.79,57327.57,150.79,90.32,62.46
turkey,2020,beverage,34646.82,38811.94,56.26,1078.14,64.74
turkey,2020,frozen food,3120.26,2798.83,141.9,682.44,31.97
south africa,2021,fruit vegetable,8621.34,9973.89,176.26,566.1,40.89
uk,2019,grain cereal,35390.44,30453.31,25.72,1103.18,64.5
spain,2023,bakery item,3663.49,4005.62,179.17,799.08,61.17
spain,2022,fruit vegetable,43162.29,46159.5,119.68,650.34,66.47
canada,2019,grain cereal,45279.09,46202.71,112.32,1045.86,68.46
mexico,2018,fruit vegetable,19392.75,19073.59,177.2,1360.57,48.16
germany,2019,prepared food,29113.69,32478.81,49.46,1158.83,44.01
japan,2021,grain cereal,17636.51,19452.05,179.42,480.43,41.32
china,2024,grain cereal,8868.1,9640.64,107.74,668.52,54.3
saudi arabia,2021,frozen food,46198.11,52242.67,143.51,281.03,36.71
turkey,2018,beverage,48402.2,51344.81,118.82,321.0,66.59
india,2019,meat seafood,12301.35,12598.08,161.37,1068.31,41.15
australia,2022,beverage,4103.34,3481.24,162.15,724.16,40.73
saudi arabia,2024,frozen food,33168.18,39427.5,160.48,749.4,45.93
china,2021,prepared food,10357.84,11322.82,72.71,1229.44,52.83
usa,2024,bakery item,14150.56,13191.58,188.36,1066.05,64.5
india,2021,grain cereal,12408.78,12422.19,124.37,759.94,49.25
china,2020,dairy product,12168.64,10111.49,143.16,1011.83,47.83
australia,2022,grain cereal,23468.74,26836.79,74.17,1235.34,42.45
south africa,2021,grain cereal,8379.7,8101.9,158.53,1318.22,40.38
mexico,2021,meat seafood,42429.8,43314.09,94.42,540.22,55.02
germany,2018,fruit vegetable,22888.43,19728.19,198.41,286.95,64.2
japan,2021,grain cereal,37536.14,35411.5,59.89,91.59,51.99
argentina,2024,prepared food,33975.04,38624.05,165.13,124.39,32.92
south korea,2020,dairy product,13374.2,13501.38,73.73,727.93,40.54
france,2019,dairy product,47200.95,46392.34,21.83,672.59,57.48
spain,2022,prepared food,27453.18,32326.41,59.33,635.64,68.7
japan,2024,bakery item,35661.32,31712.14,168.58,1097.42,33.92
italy,2018,beverage,15419.38,16642.94,150.3,131.97,41.76
brazil,2018,frozen food,48423.87,55225.94,38.88,473.42,40.68
china,2023,beverage,23310.77,27804.91,111.3,1075.49,49.71
south africa,2021,fruit vegetable,22799.99,21344.78,62.3,67.29,64.18
south korea,2022,frozen food,34892.77,30087.1,163.47,167.87,56.14
turkey,2023,beverage,26154.24,23605.36,97.74,952.86,61.6
india,2018,prepared food,24709.69,21907.12,175.85,233.03,30.37
saudi arabia,2024,fruit vegetable,33000.57,27199.3,47.58,967.79,63.97
australia,2021,frozen food,32609.41,34514.42,49.93,579.9,62.41
usa,2024,bakery item,28585.83,31170.26,82.82,560.49,38.67
argentina,2023,grain cereal,25283.83,27769.57,164.1,174.2,47.45
australia,2023,prepared food,15560.43,17229.01,33.94,135.85,61.85
australia,2020,meat seafood,26050.19,30058.53,100.1,334.72,55.52
south africa,2022,frozen food,6241.82,6550.61,151.63,155.33,63.15
uk,2022,prepared food,14507.24,15751.93,103.51,814.7,52.6
usa,2020,fruit vegetable,49940.84,58118.91,68.65,1374.62,31.97
brazil,2018,meat seafood,42940.75,35290.62,61.88,173.96,64.02
saudi arabia,2024,prepared food,27017.13,29962.85,128.51,444.85,55.7
argentina,2019,prepared food,45454.42,46874.21,49.67,945.86,37.33
germany,2024,meat seafood,10328.38,9680.69,113.97,113.64,50.43
india,2019,grain cereal,2767.92,2468.91,38.77,97.52,36.79
south korea,2022,fruit vegetable,37034.74,31161.26,111.83,152.33,68.43
mexico,2018,prepared food,44970.63,42041.63,86.21,456.5,37.16
japan,2020,beverage,45853.83,40973.98,150.07,52.02,68.23
brazil,2019,dairy product,25297.9,23278.03,30.4,1296.09,62.53
south korea,2023,meat seafood,1381.98,1215.77,183.86,1064.29,41.61
australia,2021,beverage,2967.07,2889.8,144.41,109.74,44.07
japan,2023,bakery item,31658.12,25907.78,182.21,466.22,69.25
australia,2021,beverage,18521.0,19976.55,176.33,77.97,61.55
mexico,2018,frozen food,44856.7,39973.44,83.43,689.41,38.02
spain,2022,bakery item,12957.08,13583.24,26.58,1015.98,50.05
india,2021,dairy product,10419.01,10759.03,57.4,477.07,30.82
india,2023,bakery item,32311.01,26850.99,22.03,245.47,52.84
brazil,2018,beverage,17951.7,14804.88,143.61,1236.3,31.74
turkey,2022,beverage,39228.94,42712.73,164.94,1094.14,44.58
australia,2019,fruit vegetable,15842.1,17709.71,101.11,1128.15,36.17
usa,2020,meat seafood,40534.99,47743.89,30.1,480.95,60.82
china,2024,frozen food,36041.71,41442.24,172.55,309.4,58.45
italy,2024,meat seafood,34178.23,27478.34,105.28,993.67,33.85
australia,2020,fruit vegetable,3721.72,3310.86,76.37,830.16,51.86
usa,2023,dairy product,44920.38,36015.96,58.26,320.81,32.69
usa,2018,grain cereal,42505.33,35453.57,48.91,228.91,30.58
usa,2021,bakery item,33519.63,36564.9,108.5,55.54,61.65
turkey,2024,prepared food,34201.89,39119.8,24.43,888.89,31.99
australia,2019,meat seafood,31221.57,32289.6,23.32,1300.91,45.63
turkey,2018,frozen food,30291.51,35776.6,113.2,1209.88,65.16
mexico,2018,grain cereal,11796.42,13723.48,52.99,1266.37,53.95
france,2020,beverage,27579.78,32251.29,131.23,1034.96,42.38
canada,2020,grain cereal,19800.42,22212.63,50.24,41.4,52.11
india,2019,frozen food,42079.37,44757.73,102.14,208.11,58.53
india,2020,dairy product,15487.71,16640.68,182.23,364.41,48.35
japan,2019,prepared food,1838.52,2179.56,87.52,380.11,62.3
indonesia,2023,bakery item,1712.49,2031.46,101.2,878.61,54.97
turkey,2023,beverage,47671.19,44285.41,34.27,333.53,38.82
france,2024,beverage,7967.52,9053.55,78.26,1089.85,55.08
china,2023,grain cereal,41850.06,43474.2,66.45,216.97,42.47
south korea,2022,dairy product,19720.77,22541.93,161.86,327.56,35.11
canada,2022,dairy product,31653.3,35258.38,136.29,98.77,47.28
australia,2024,prepared food,37434.92,42099.74,41.77,620.77,36.97
germany,2020,fruit vegetable,15888.42,15135.89,162.68,786.51,63.98
uk,2020,frozen food,19198.98,19713.53,78.71,1313.9,39.63
usa,2019,prepared food,31339.63,25846.28,92.33,934.34,36.93
south africa,2024,meat seafood,13361.44,12970.16,27.01,609.6,31.72
brazil,2020,meat seafood,26268.6,29249.71,23.25,1047.37,50.7
spain,2021,bakery item,19136.84,19596.66,99.03,926.63,52.93
china,2023,bakery item,842.5,947.94,123.55,1097.0,33.03
italy,2018,beverage,14796.26,15199.69,51.6,335.12,38.73
uk,2024,dairy product,38171.54,38081.43,140.05,340.75,41.56
japan,2018,meat seafood,35651.41,42058.68,107.05,1138.12,34.37
turkey,2021,fruit vegetable,8387.38,7124.6,48.27,416.51,57.22
italy,2024,frozen food,43166.14,42762.22,90.23,721.96,45.47
australia,2020,dairy product,25602.25,22353.88,118.49,749.89,63.9
mexico,2022,frozen food,40757.12,39501.14,123.04,668.61,62.18
germany,2023,dairy product,12295.52,12498.26,158.68,1210.98,69.08
mexico,2024,grain cereal,32745.8,29929.73,113.34,222.23,38.08
turkey,2024,meat seafood,45030.47,41196.59,92.94,1119.04,56.87
japan,2022,fruit vegetable,16373.89,14440.85,118.1,1242.49,32.01
japan,2021,prepared food,9209.33,10673.4,130.27,493.96,59.59
italy,2023,grain cereal,49737.09,57141.36,48.65,291.33,63.28
uk,2024,prepared food,44233.62,48960.11,41.35,454.89,54.46
turkey,2022,bakery item,6263.58,7038.29,183.38,1030.14,68.59
turkey,2022,prepared food,46070.81,46684.82,58.47,674.67,42.72
italy,2019,meat seafood,4238.69,4890.25,165.2,239.82,57.1
saudi arabia,2021,dairy product,27690.42,32462.18,94.21,1210.0,67.48
germany,2020,bakery item,43866.24,38226.46,86.05,273.33,53.77
japan,2023,prepared food,29950.37,29371.74,80.39,1337.46,32.64
india,2018,beverage,47812.52,56261.23,86.12,719.57,45.54
canada,2019,prepared food,15618.75,17114.68,188.62,707.74,41.52
mexico,2022,bakery item,6358.72,6242.26,85.89,220.23,47.19
germany,2019,fruit vegetable,45407.23,41091.54,121.71,1285.63,60.85
france,2022,prepared food,29885.99,28704.65,187.19,411.09,39.21
japan,2019,beverage,45475.46,47403.78,172.04,326.18,35.04
france,2022,bakery item,31197.91,28484.77,174.88,445.65,56.67
usa,2022,bakery item,48136.96,43590.5,199.41,766.17,69.19
india,2022,fruit vegetable,42863.19,45929.85,115.61,143.68,32.36
russia,2021,dairy product,46417.62,37255.81,138.6,380.54,34.99
south korea,2019,frozen food,32616.89,35818.75,105.35,39.85,39.94
australia,2023,bakery item,13151.02,12029.98,192.59,682.76,50.71
indonesia,2021,prepared food,8407.16,9735.68,45.43,1090.18,43.0
canada,2023,grain cereal,48793.72,49727.43,83.06,557.59,38.67
italy,2020,meat seafood,24587.1,22971.14,154.22,931.39,35.92
spain,2021,grain cereal,36997.75,32085.61,132.83,328.22,66.78
uk,2020,beverage,32872.5,33542.22,68.0,577.39,41.75
japan,2018,prepared food,46211.12,50732.08,34.52,272.31,67.86
canada,2021,beverage,32319.53,26371.64,150.85,1200.42,42.42
turkey,2019,frozen food,42721.72,50891.26,88.01,1245.72,30.83
indonesia,2020,dairy product,29330.49,33250.36,66.99,1316.42,53.09
south korea,2018,frozen food,1004.76,1073.82,114.15,136.92,65.71
russia,2023,bakery item,42578.56,47128.22,110.62,343.53,31.41
italy,2019,dairy product,2333.93,2756.35,87.33,487.62,49.23
brazil,2022,meat seafood,6583.48,7133.03,53.19,1238.58,68.19
south africa,2023,prepared food,32124.53,30188.52,27.19,1275.71,62.15
japan,2022,bakery item,9672.11,11579.58,139.34,899.64,62.32
japan,2020,frozen food,3055.17,2893.18,171.78,91.83,41.67
argentina,2018,meat seafood,37577.43,40347.57,198.46,662.1,48.21
germany,2023,frozen food,40808.56,36086.34,52.59,833.59,53.29
mexico,2024,prepared food,47536.2,46886.22,84.49,376.19,57.53
canada,2021,frozen food,3917.88,3911.94,197.97,1016.55,55.35
canada,2021,prepared food,43527.28,49663.05,65.95,682.47,45.78
australia,2021,frozen food,7946.8,8273.06,163.25,586.75,66.33
australia,2022,frozen food,49145.2,52483.15,198.37,430.64,48.06
france,2019,meat seafood,23747.67,28401.18,96.21,1197.29,54.64
italy,2021,fruit vegetable,34048.36,32944.38,124.93,652.76,54.31
china,2024,meat seafood,12728.31,12115.94,55.08,760.37,38.63
russia,2022,fruit vegetable,15263.75,14975.08,87.9,111.01,60.75
china,2019,fruit vegetable,25980.61,26860.13,96.51,1285.32,51.27
turkey,2023,fruit vegetable,23351.45,19223.95,94.34,771.32,46.08
germany,2019,frozen food,25607.91,29545.06,198.37,1391.05,37.31
argentina,2024,dairy product,31029.16,29166.87,146.09,184.15,44.95
germany,2019,meat seafood,35661.98,39208.05,146.85,789.28,44.16
china,2024,beverage,43886.44,39205.98,51.59,1135.3,31.61
uk,2019,grain cereal,3525.68,2933.31,34.54,1208.58,34.59
spain,2021,grain cereal,31664.31,37376.19,133.71,112.87,60.04
saudi arabia,2023,frozen food,13448.93,11774.96,99.43,250.36,68.27
australia,2019,dairy product,43769.49,41760.1,84.39,608.12,30.52
italy,2022,prepared food,46237.24,45419.13,117.46,303.71,36.44
uk,2023,prepared food,40338.02,32405.22,42.45,153.05,69.49
germany,2023,beverage,10440.31,9644.16,84.2,1143.59,49.7
canada,2024,grain cereal,39155.04,32634.58,151.69,610.65,38.28
turkey,2021,beverage,30834.13,26750.37,86.68,160.97,34.15
argentina,2021,frozen food,6285.01,6861.76,175.93,862.5,44.75
india,2018,meat seafood,1573.89,1575.94,33.53,11.46,69.89
china,2018,grain cereal,47358.45,55900.26,39.08,847.2,69.94
south africa,2018,meat seafood,32406.6,32328.11,91.75,177.99,37.66
japan,2020,dairy product,9051.55,7530.28,122.73,228.58,44.37
